,TradingTime,Buy_Sell,Qty,Action,Commision,openPositionQty,openPositionValue,CapitalRemained,price,index
0,2020-05-16 17:01:00,Buy,0.10604869968386883,Open,2.0,0.10604869968386883,999.9331893191992,98998.0,9429.63,31.0
1,2020-05-16 17:08:00,Buy,0.10606973448624063,Increase Position,2.0,0.21211843417010945,1999.8271431436913,97996.0,9427.76,38.0
2,2020-05-16 17:29:00,Buy,0.10668020794106133,Increase Position,2.0,0.31879864211117076,2985.8680820132254,96994.0,9373.81,59.0
3,2020-05-16 17:31:00,Sell,0.31879864211117076,DownwardsClose,5.959589935762016,0.0,0.0,99967.83537794524,9346.95,61.0
4,2020-05-16 18:01:00,Buy,0.10636351646294509,Open,2.0,0.10636351646294509,1000.3127087384012,98965.83537794524,9401.72,91.0
5,2020-05-16 18:07:00,Buy,0.10652043541293178,Increase Position,2.0,0.2128839518758769,1997.5646298345096,97963.83537794524,9387.87,97.0
6,2020-05-16 18:31:00,Sell,0.2128839518758769,DownwardsClose,4.004926179134347,0.0,0.0,99962.29354133329,9406.36,121.0
7,2020-05-16 19:01:00,Buy,0.10583556117189599,Open,2.0,0.10583556117189599,1000.1513448524756,98960.29354133329,9448.62,151.0
8,2020-05-16 19:04:00,Sell,0.10582279338311237,Reduce Position,2.0,0.0,0.0,99958.29354133329,9449.76,154.0
9,2020-05-16 19:05:00,Buy,0.1059310812385462,Open,2.0,0.1059310812385462,999.4809377019311,98956.29354133329,9440.1,155.0
10,2020-05-16 19:28:00,Buy,0.10607828577490187,Increase Position,2.0,0.21200936701344808,1999.6490286404708,97954.29354133329,9427.0,178.0
11,2020-05-16 19:31:00,Sell,0.21200936701344808,DownwardsClose,4.0027410894012405,0.0,0.0,99951.66134494451,9440.01,181.0
12,2020-05-16 20:31:00,Buy,0.10534344068532228,Open,2.0,0.10534344068532228,999.2067638916394,98949.66134494451,9492.76,241.0
13,2020-05-16 20:44:00,Sell,0.10569293876045434,Reduce Position,2.0,0.0,0.0,99947.66134494451,9461.37,254.0
14,2020-05-16 20:45:00,Buy,0.10565921311357626,Open,2.0,0.10565921311357626,999.1177455705017,98945.66134494451,9464.39,255.0
15,2020-05-16 21:01:00,Sell,0.10565921311357626,DownwardsClose,2.0047060613520786,0.0,0.0,99946.0096695592,9486.66,271.0
16,2020-05-17 01:01:00,Buy,0.10652599553869131,Open,2.0,0.10652599553869131,999.8998655641938,98944.0096695592,9387.38,511.0
17,2020-05-17 01:31:00,Sell,0.10652599553869131,DownwardsClose,1.9948270976566416,0.0,0.0,99939.42839128985,9363.1,541.0
18,2020-05-17 03:31:00,Buy,0.10709837306861472,Open,2.0,0.10709837306861472,999.6540722549884,98937.42839128985,9337.21,661.0
