datetime,ma_5,boll_bottom,boll_top
2020-05-16 16:30:00,,,
2020-05-16 16:31:00,,,
2020-05-16 16:32:00,,,
2020-05-16 16:33:00,,,
2020-05-16 16:34:00,9417.234,9409.614923940531,9424.85307605947
2020-05-16 16:35:00,9416.106,9410.570666225061,9421.641333774938
2020-05-16 16:36:00,9415.674,9410.75433334463,9420.593666655372
2020-05-16 16:37:00,9415.04,9411.709534567068,9418.370465432934
2020-05-16 16:38:00,9413.148000000001,9403.372986956534,9422.923013043468
2020-05-16 16:39:00,9412.082,9400.855313935095,9423.308686064905
2020-05-16 16:40:00,9406.070000000002,9381.645880773305,9430.494119226698
2020-05-16 16:41:00,9400.905999999999,9376.378498700442,9425.433501299556
2020-05-16 16:42:00,9397.001999999999,9379.018694408434,9414.985305591563
2020-05-16 16:43:00,9395.23,9379.537759879497,9410.922240120502
2020-05-16 16:44:00,9393.057999999999,9383.947627889076,9402.168372110922
2020-05-16 16:45:00,9394.613999999998,9389.611768498007,9399.616231501988
2020-05-16 16:46:00,9396.634,9391.825307870165,9401.442692129835
2020-05-16 16:47:00,9397.369999999999,9391.744486690128,9402.99551330987
2020-05-16 16:48:00,9399.784,9389.009580294067,9410.558419705932
2020-05-16 16:49:00,9402.86,9388.859907143178,9416.860092856823
2020-05-16 16:50:00,9407.592,9392.605877085798,9422.578122914203
2020-05-16 16:51:00,9411.846000000001,9394.86884711739,9428.823152882613
2020-05-16 16:52:00,9415.442000000001,9404.448098053945,9426.435901946057
2020-05-16 16:53:00,9417.782000000001,9410.113292155816,9425.450707844186
2020-05-16 16:54:00,9419.934000000001,9415.62010153116,9424.247898468842
2020-05-16 16:55:00,9419.982,9415.791023980088,9424.172976019912
2020-05-16 16:56:00,9419.532000000001,9415.897680256296,9423.166319743706
2020-05-16 16:57:00,9419.728,9416.421237232656,9423.034762767342
2020-05-16 16:58:00,9420.85,9414.764574788935,9426.935425211066
2020-05-16 16:59:00,9421.108,9414.605286720185,9427.610713279815
2020-05-16 17:00:00,9423.526,9414.489943337969,9432.562056662031
2020-05-16 17:01:00,9425.405999999999,9416.544311673306,9434.267688326692
2020-05-16 17:02:00,9426.628,9421.185107386744,9432.070892613257
2020-05-16 17:03:00,9427.966,9420.946960179663,9434.985039820338
2020-05-16 17:04:00,9429.920000000002,9423.478726833966,9436.361273166038
2020-05-16 17:05:00,9429.490000000002,9422.790223884378,9436.189776115625
2020-05-16 17:06:00,9427.312000000002,9415.046891765689,9439.577108234314
2020-05-16 17:07:00,9427.66,9415.61621322011,9439.70378677989
2020-05-16 17:08:00,9426.814,9415.7813158298,9437.846684170201
2020-05-16 17:09:00,9423.89,9413.926877999374,9433.853122000624
2020-05-16 17:10:00,9419.928,9403.905713022192,9435.950286977808
2020-05-16 17:11:00,9418.939999999999,9401.787787314772,9436.092212685226
2020-05-16 17:12:00,9415.822,9400.225517063156,9431.418482936844
2020-05-16 17:13:00,9412.880000000001,9405.030719778271,9420.72928022173
2020-05-16 17:14:00,9412.094000000001,9406.863577455002,9417.324422545
2020-05-16 17:15:00,9413.062000000002,9410.46233079042,9415.661669209583
2020-05-16 17:16:00,9411.508000000002,9404.201955926821,9418.814044073182
2020-05-16 17:17:00,9409.750000000002,9398.78402535115,9420.715974648854
2020-05-16 17:18:00,9406.716000000002,9392.55291700232,9420.879082997684
2020-05-16 17:19:00,9403.048000000003,9390.00108925457,9416.094910745434
2020-05-16 17:20:00,9397.466000000002,9381.809297920723,9413.122702079281
2020-05-16 17:21:00,9391.474000000002,9369.3876168647,9413.560383135304
2020-05-16 17:22:00,9387.362000000003,9367.984990942892,9406.739009057113
2020-05-16 17:23:00,9382.754000000003,9365.1488098562,9400.359190143805
2020-05-16 17:24:00,9376.150000000001,9359.664503343867,9392.635496656136
2020-05-16 17:25:00,9374.170000000002,9360.913243232246,9387.426756767758
2020-05-16 17:26:00,9373.536000000002,9360.279721487559,9386.792278512445
2020-05-16 17:27:00,9373.676000000001,9359.972404851304,9387.379595148699
2020-05-16 17:28:00,9373.156,9359.49877773486,9386.813222265142
2020-05-16 17:29:00,9373.652000000002,9361.666780769656,9385.637219230348
2020-05-16 17:30:00,9367.790000000003,9340.433658870395,9395.14634112961
2020-05-16 17:31:00,9364.980000000001,9337.044298827497,9392.915701172506
2020-05-16 17:32:00,9365.046000000002,9336.901730245761,9393.190269754243
2020-05-16 17:33:00,9366.456000000002,9335.878404934343,9397.03359506566
2020-05-16 17:34:00,9367.828000000003,9336.741335978282,9398.914664021724
2020-05-16 17:35:00,9374.078000000003,9354.901042994281,9393.254957005725
2020-05-16 17:36:00,9378.434000000003,9370.918953759345,9385.949046240661
2020-05-16 17:37:00,9379.736000000003,9367.548821491455,9391.92317850855
2020-05-16 17:38:00,9383.034000000003,9364.18428063872,9401.883719361287
2020-05-16 17:39:00,9387.580000000002,9370.083594654929,9405.076405345075
2020-05-16 17:40:00,9390.390000000003,9377.47689812636,9403.303101873646
2020-05-16 17:41:00,9393.828000000003,9387.050324882453,9400.605675117553
2020-05-16 17:42:00,9396.348000000004,9388.49871468228,9404.197285317727
2020-05-16 17:43:00,9395.706000000004,9387.177769233953,9404.234230766055
2020-05-16 17:44:00,9395.850000000002,9387.30726039265,9404.392739607354
2020-05-16 17:45:00,9397.236,9390.537468817794,9403.934531182207
2020-05-16 17:46:00,9397.402000000002,9390.668124444352,9404.135875555652
2020-05-16 17:47:00,9398.452000000001,9387.691931227035,9409.212068772968
2020-05-16 17:48:00,9401.424000000003,9390.415452411928,9412.432547588078
